?Provincia,Municipio,Localidad,Código postal,Dirección,Margen,Longitud,Latitud,Toma de datos,Precio gasolina 95 E5,Precio gasolina 95 E10,Precio gasolina 95 E5 Premium,Precio gasolina 98 E5,Precio gasolina 98 E10,Precio gas�leo A,Precio gas�leo Premium,Precio gas�leo B,Precio gas�leo C,Precio bioetanol,Precio biodi�sel,Precio gases licuados del petr�leo,Precio gas natural comprimido,Precio gas natural licuado,Precio hidr�geno,R�tulo,Tipo venta,Rem.,Horario,Tipo servicio,,,,,,
ALBACETE,ALBACETE,ALBACETE,2007,"POLIGONO CAMPOLLANO AVENIDA 1, 0",N,-1.893944,39.016389,2025-04-28 00:00:00,1449,,,,,1359,1409,,,,,,,,,INPEALSA,P,dm,L-V: 06:00-22:00, S: 06:00-14:00,S: 06:00-14:00 (A),,,,,
ALBACETE,ALBACETE,ALBACETE,2007,"SECTOR PARCELA T-3 LOCAL52, 14",N,-1.878111,39.009639,2025-04-29 18:44:00,1399,,,1559,,1359,1399,,,,,,,,,ALCAMPO,P,dm,L-S: 06:00-23:00, D: 08:00-23:00,L-S: 06:00-23:00 (A), D: 08:00-23:00 (A),,,,
ALBACETE,ALBACETE,ALBACETE,2007,"CALLE AUTOVIA, SN",N,-1.888333,39.029167,2025-04-29 18:52:00,1449,,,,,1359,,,,,,,,,,LA GAVIOTA GASOLINERA 24 HORA,P,dm,L-D: 24H,"L-V: 00:00-08:30 (D), 08:30-19:00 (A), 19:00-23:59 (D); S-D: 24H (D)",,,,,,
ALBACETE,ALBACETE,ALBACETE,2080,"POLIGONO Nº 71, PARCELA 678, PARAJE HONDO DE LA MORENA S/N, S/N",D,-1.823639,38.969361,2025-04-28 10:52:00,1539,,,1669,,1479,1579,,,,,,,,,CEPSA,P,dm,L-D: 06:30-22:30,Sin datos,,,,,,
ALBACETE,ALBACETE,ALBACETE,2080,"CARRETERA DE LAS PEÑAS KM 0+238 KM. 0,238",I,-1.873194,38.970778,2025-04-29 14:17:00,1459,,,,,1389,,,,,,,,,,AREA LOS LLANOS,P,dm,L-D: 07:00-22:00,L-D: 07:00-22:00 (A),,,,,,
ALBACETE,ALBACETE,ALBACETE,2080,"AUTOVIA A-30 KM. 239,4",I,-1.933056,39.060528,2025-05-01 00:00:00,1495,,,,,1454,1564,,,,,,,,,MOEVE,P,OM,L-D: 24H,L-D: 24H (A),,,,,,
ALBACETE,ALBACETE,ALBACETE,2080,"AUTOVIA A-30 KM. 239,4",D,-1.93325,39.059806,2025-05-01 00:00:00,1495,,,1645,,1434,1544,,,,,,,,,MOEVE,P,OM,L-D: 07:00-23:00,Sin datos,,,,,,
ALBACETE,ALCADOZO,ALCADOZO,2124,"CM-3203 km 41,9",I,-1.978917,38.646833,2025-04-28 10:28:00,1589,,,,,1549,1689,1289,,,,,,,,CEPSA,P,dm,L-D: 07:00-21:30,L-D: 07:00-21:30 (A),,,,,,
ALBACETE,ALCALÁ DEL JÚCAR,ALCALA DEL JUCAR,2210,"CARRETERA CM-3201 47,1 KM. 47,1",D,-1.433222,39.203167,2025-04-28 09:49:00,1439,,,,,1369,,,,,,,,,,EL JUCAR,P,dm,L-D: 08:00-20:00,Sin datos,,,,,,
ALBACETE,ALCARAZ,ALCARAZ,2300,"CR N-322 276,5",D,-2.492222,38.673111,2025-04-30 12:11:00,1529,,,1729,,1429,1499,,,,,,,,,REPSOL,P,dm,L-D: 07:00-22:00,L-D: 07:00-22:00 (A),,,,,,
